service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SEPT20-MThCFD-Weekday-01,1,1,1,1,1,0,0,20200917,20201217
SEPT20-FriCFD-Weekday-01,1,1,1,1,1,0,0,20200918,20201218
SEPT20-SATCFD-Saturday-01,0,0,0,0,0,1,0,20200919,20201219
SEPT20-SUNCFD-Sunday-01,0,0,0,0,0,0,1,20200920,20201213
SEPT20-SEPDA20-Weekday-11,1,1,1,1,1,0,0,20200917,20201218
SEPT20-SEPSA20-Saturday-01,0,0,0,0,0,1,0,20200919,20201219
SEPT20-SEPSU20-Sunday-01,0,0,0,0,0,0,1,20200920,20201213
SEPT20-304Shop-Weekday-01,1,1,1,1,1,0,0,20200917,20201217
SEPT20-305Shop-Weekday-01,1,1,1,1,1,0,0,20200918,20201218
SEPT20-301Shop-Weekday-01,1,1,1,1,1,0,0,20200921,20201214
SEPT20-302Shop-Weekday-01,1,1,1,1,1,0,0,20200922,20201215
SEPT20-303Shop-Weekday-01,1,1,1,1,1,0,0,20200923,20201216
