route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-318,1,,,2,,DA291C,FFFFFF
2-318,2,,,3,,65A233,FFFFFF
5-318,5,,,3,,6E6E70,FFFFFF
6-318,6,,,3,,D74100,FFFFFF
7-318,7,,,3,,D74100,FFFFFF
9-318,9,,,3,,6E6E70,FFFFFF
10-318,10,,,3,,D74100,FFFFFF
11-318,11,,,3,,D74100,FFFFFF
12-318,12,,,3,,D74100,FFFFFF
14-318,14,,,3,,D74100,FFFFFF
15-318,15,,,3,,E6E6E6,58595B
16-318,16,,,3,,6E6E70,FFFFFF
17-318,17,,,3,,E6E6E6,58595B
18-318,18,,,3,,6E6E70,FFFFFF
19-318,19,,,3,,6E6E70,FFFFFF
20-318,20,,,3,,6E6E70,FFFFFF
21-318,21,,,3,,E6E6E6,58595B
23-318,23,,,3,,E6E6E6,58595B
24-318,24,,,3,,6E6E70,FFFFFF
25-318,25,,,3,,D74100,FFFFFF
26-318,26,,,3,,6E6E70,FFFFFF
27-318,27,,,3,,E6E6E6,58595B
28-318,28,,,3,,6E6E70,FFFFFF
30-318,30,,,3,,6E6E70,FFFFFF
31-318,31,,,3,,E6E6E6,58595B
32-318,32,,,3,,E6E6E6,58595B
33-318,33,,,3,,E6E6E6,58595B
34-318,34,,,3,,6E6E70,FFFFFF
35-318,35,,,3,,6E6E70,FFFFFF
37-318,37,,,3,,E6E6E6,58595B
38-318,38,,,3,,6E6E70,FFFFFF
39-318,39,,,3,,0056B8,FFFFFF
40-318,40,,,3,,D74100,FFFFFF
42-318,42,,,3,,6E6E70,FFFFFF
44-318,44,,,3,,D74100,FFFFFF
45-318,45,,,3,,0056B8,FFFFFF
46-318,46,,,3,,6E6E70,FFFFFF
47-318,47,,,3,,E6E6E6,58595B
48-318,48,,,3,,6E6E70,FFFFFF
49-318,49,,,3,,6E6E70,FFFFFF
50-318,50,,,3,,6E6E70,FFFFFF
51-318,51,,,3,,D74100,FFFFFF
53-318,53,,,3,,D74100,FFFFFF
54-318,54,,,3,,6E6E70,FFFFFF
55-318,55,,,3,,6E6E70,FFFFFF
56-318,56,,,3,,E6E6E6,58595B
57-318,57,,,3,,0056B8,FFFFFF
58-318,58,,,3,,6E6E70,FFFFFF
61-318,61,,,3,,0056B8,FFFFFF
62-318,62,,,3,,0056B8,FFFFFF
63-318,63,,,3,,0056B8,FFFFFF
64-318,64,,,3,,6E6E70,FFFFFF
66-318,66,,,3,,E6E6E6,58595B
73-318,73,,,3,,E6E6E6,58595B
74-318,74,,,3,,0056B8,FFFFFF
75-318,75,,,3,,0056B8,FFFFFF
80-318,80,,,3,,D74100,FFFFFF
81-318,81,,,3,,6E6E70,FFFFFF
82-318,82,,,3,,6E6E70,FFFFFF
83-318,83,,,3,,6E6E70,FFFFFF
84-318,84,,,3,,6E6E70,FFFFFF
85-318,85,,,3,,D74100,FFFFFF
86-318,86,,,3,,6E6E70,FFFFFF
87-318,87,,,3,,D74100,FFFFFF
88-318,88,,,3,,D74100,FFFFFF
89-318,89,,,3,,6E6E70,FFFFFF
90-318,90,,,3,,D74100,FFFFFF
92-318,92,,,3,,6E6E70,FFFFFF
93-318,93,,,3,,6E6E70,FFFFFF
96-318,96,,,3,,6E6E70,FFFFFF
97-318,97,,,3,,0056B8,FFFFFF
98-318,98,,,3,,0056B8,FFFFFF
99-318,99,,,3,,0056B8,FFFFFF
111-318,111,,,3,,D74100,FFFFFF
114-318,114,,,3,,E6E6E6,58595B
131-318,131,,,3,,6E6E70,FFFFFF
138-318,138,,,3,,6E6E70,FFFFFF
140-318,140,,,3,,E6E6E6,58595B
141-318,141,,,3,,E6E6E6,58595B
153-318,153,,,3,,E6E6E6,58595B
154-318,154,,,3,,E6E6E6,58595B
155-318,155,,,3,,E6E6E6,58595B
158-318,158,,,3,,E6E6E6,58595B
161-318,161,,,3,,E6E6E6,58595B
162-318,162,,,3,,E6E6E6,58595B
164-318,164,,,3,,E6E6E6,58595B
165-318,165,,,3,,E6E6E6,58595B
166-318,166,,,3,,E6E6E6,58595B
167-318,167,,,3,,E6E6E6,58595B
168-318,168,,,3,,6E6E70,FFFFFF
170-318,170,,,3,,6E6E70,FFFFFF
171-318,171,,,3,,6E6E70,FFFFFF
173-318,173,,,3,,E6E6E6,58595B
175-318,175,,,3,,6E6E70,FFFFFF
176-318,176,,,3,,E6E6E6,58595B
179-318,179,,,3,,E6E6E6,58595B
186-318,186,,,3,,E6E6E6,58595B
187-318,187,,,3,,E6E6E6,58595B
190-318,190,,,3,,E6E6E6,58595B
197-318,197,,,3,,6E6E70,FFFFFF
198-318,198,,,3,,E6E6E6,58595B
199-318,199,,,3,,E6E6E6,58595B
221-318,221,,,3,,A85B8C,FFFFFF
222-318,222,,,3,,A85B8C,FFFFFF
224-318,224,,,3,,A85B8C,FFFFFF
225-318,225,,,3,,A85B8C,FFFFFF
228-318,228,,,3,,A85B8C,FFFFFF
231-318,231,,,3,,A85B8C,FFFFFF
232-318,232,,,3,,A85B8C,FFFFFF
233-318,233,,,3,,A85B8C,FFFFFF
234-318,234,,,3,,A85B8C,FFFFFF
