route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
301-318,SEPT20-301Shop-Weekday-01,73922244-SEPT20-301Shop-Weekday-01,"Bayshore / Carlingwood",0,9169062,3010034
301-318,SEPT20-301Shop-Weekday-01,73922248-SEPT20-301Shop-Weekday-01,"Richmond / Stittsville",1,9169062,3010035
302-318,SEPT20-302Shop-Weekday-01,73922238-SEPT20-302Shop-Weekday-01,"St Laurent / Place D'Orléans",0,9169061,3020019
302-318,SEPT20-302Shop-Weekday-01,73922242-SEPT20-302Shop-Weekday-01,"Cumberland",1,9169061,3020020
303-318,SEPT20-303Shop-Weekday-01,73922224-SEPT20-303Shop-Weekday-01,"Bayshore / Carlingwood",0,9169059,3030032
303-318,SEPT20-303Shop-Weekday-01,73922225-SEPT20-303Shop-Weekday-01,"Dunrobin / Carp / Stittsville",1,9169059,3030033
304-318,SEPT20-304Shop-Weekday-01,73922231-SEPT20-304Shop-Weekday-01,"Billings Bridge / South Keys",0,9169060,3040015
304-318,SEPT20-304Shop-Weekday-01,73922235-SEPT20-304Shop-Weekday-01,"Greely / Metcalfe",1,9169060,3040018
305-318,SEPT20-305Shop-Weekday-01,73922252-SEPT20-305Shop-Weekday-01,"Carlingwood",0,9169063,3050017
305-318,SEPT20-305Shop-Weekday-01,73922256-SEPT20-305Shop-Weekday-01,"North Gower / Manotick",1,9169063,3050016
1-318,SEPT20-FriCFD-Weekday-01,74699229-SEPT20-FriCFD-Weekday-01,"Blair",0,9255511,10674
1-318,SEPT20-FriCFD-Weekday-01,74699230-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255511,10675
1-318,SEPT20-FriCFD-Weekday-01,74699231-SEPT20-FriCFD-Weekday-01,"Blair",0,9255511,10674
1-318,SEPT20-FriCFD-Weekday-01,74699232-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255511,10675
1-318,SEPT20-FriCFD-Weekday-01,74699233-SEPT20-FriCFD-Weekday-01,"Blair",0,9255511,10674
1-318,SEPT20-FriCFD-Weekday-01,74699234-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255511,10675
1-318,SEPT20-FriCFD-Weekday-01,74699235-SEPT20-FriCFD-Weekday-01,"Blair",0,9255511,10674
1-318,SEPT20-FriCFD-Weekday-01,74699236-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255511,10675
1-318,SEPT20-FriCFD-Weekday-01,74699237-SEPT20-FriCFD-Weekday-01,"Blair",0,9255511,10674
1-318,SEPT20-FriCFD-Weekday-01,74699238-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255511,10675
1-318,SEPT20-FriCFD-Weekday-01,74699239-SEPT20-FriCFD-Weekday-01,"Blair",0,9255511,10674
1-318,SEPT20-FriCFD-Weekday-01,74699240-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255511,10675
1-318,SEPT20-FriCFD-Weekday-01,74699241-SEPT20-FriCFD-Weekday-01,"Blair",0,9255511,10674
1-318,SEPT20-FriCFD-Weekday-01,74699242-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255511,10675
1-318,SEPT20-FriCFD-Weekday-01,74699243-SEPT20-FriCFD-Weekday-01,"Blair",0,9255511,10674
1-318,SEPT20-FriCFD-Weekday-01,74699244-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255511,10675
1-318,SEPT20-FriCFD-Weekday-01,74699245-SEPT20-FriCFD-Weekday-01,"Blair",0,9255511,10674
1-318,SEPT20-FriCFD-Weekday-01,74699246-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255511,10675
1-318,SEPT20-FriCFD-Weekday-01,74699247-SEPT20-FriCFD-Weekday-01,"Blair",0,9255511,10674
1-318,SEPT20-FriCFD-Weekday-01,74699248-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255511,10675
1-318,SEPT20-FriCFD-Weekday-01,74699249-SEPT20-FriCFD-Weekday-01,"Blair",0,9255511,10674
1-318,SEPT20-FriCFD-Weekday-01,74699250-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255511,10675
1-318,SEPT20-FriCFD-Weekday-01,74699251-SEPT20-FriCFD-Weekday-01,"Blair",0,9255511,10674
1-318,SEPT20-FriCFD-Weekday-01,74699252-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255511,10675
1-318,SEPT20-FriCFD-Weekday-01,74699253-SEPT20-FriCFD-Weekday-01,"Blair",0,9255511,10674
1-318,SEPT20-FriCFD-Weekday-01,74699254-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255511,10675
1-318,SEPT20-FriCFD-Weekday-01,74699255-SEPT20-FriCFD-Weekday-01,"Blair",0,9255511,10674
1-318,SEPT20-FriCFD-Weekday-01,74699256-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255511,10675
1-318,SEPT20-FriCFD-Weekday-01,74699257-SEPT20-FriCFD-Weekday-01,"Blair",0,9255511,10674
1-318,SEPT20-FriCFD-Weekday-01,74699258-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255511,10675
1-318,SEPT20-FriCFD-Weekday-01,74699259-SEPT20-FriCFD-Weekday-01,"Blair",0,9255511,10674
1-318,SEPT20-FriCFD-Weekday-01,74699260-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255511,10675
1-318,SEPT20-FriCFD-Weekday-01,74699261-SEPT20-FriCFD-Weekday-01,"Blair",0,9255511,10674
1-318,SEPT20-FriCFD-Weekday-01,74699262-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255511,10675
1-318,SEPT20-FriCFD-Weekday-01,74699263-SEPT20-FriCFD-Weekday-01,"Blair",0,9255511,10674
1-318,SEPT20-FriCFD-Weekday-01,74699264-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255511,10675
1-318,SEPT20-FriCFD-Weekday-01,74699265-SEPT20-FriCFD-Weekday-01,"Blair",0,9255511,10674
1-318,SEPT20-FriCFD-Weekday-01,74699268-SEPT20-FriCFD-Weekday-01,"Blair",0,9255512,10674
1-318,SEPT20-FriCFD-Weekday-01,74699269-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255512,10675
1-318,SEPT20-FriCFD-Weekday-01,74699270-SEPT20-FriCFD-Weekday-01,"Blair",0,9255512,10674
1-318,SEPT20-FriCFD-Weekday-01,74699271-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255512,10675
1-318,SEPT20-FriCFD-Weekday-01,74699272-SEPT20-FriCFD-Weekday-01,"Blair",0,9255512,10674
1-318,SEPT20-FriCFD-Weekday-01,74699273-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255512,10675
1-318,SEPT20-FriCFD-Weekday-01,74699274-SEPT20-FriCFD-Weekday-01,"Blair",0,9255512,10674
1-318,SEPT20-FriCFD-Weekday-01,74699275-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255512,10675
1-318,SEPT20-FriCFD-Weekday-01,74699276-SEPT20-FriCFD-Weekday-01,"Blair",0,9255512,10674
1-318,SEPT20-FriCFD-Weekday-01,74699277-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255512,10675
1-318,SEPT20-FriCFD-Weekday-01,74699278-SEPT20-FriCFD-Weekday-01,"Blair",0,9255512,10674
1-318,SEPT20-FriCFD-Weekday-01,74699279-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255512,10675
1-318,SEPT20-FriCFD-Weekday-01,74699280-SEPT20-FriCFD-Weekday-01,"Blair",0,9255512,10674
1-318,SEPT20-FriCFD-Weekday-01,74699281-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255512,10675
1-318,SEPT20-FriCFD-Weekday-01,74699282-SEPT20-FriCFD-Weekday-01,"Blair",0,9255512,10674
1-318,SEPT20-FriCFD-Weekday-01,74699283-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255512,10675
1-318,SEPT20-FriCFD-Weekday-01,74699284-SEPT20-FriCFD-Weekday-01,"Blair",0,9255512,10674
1-318,SEPT20-FriCFD-Weekday-01,74699285-SEPT20-FriCFD-Weekday-01,"Tunney's Pasture",1,9255512,10675
1-318,SEPT20-FriCFD-Weekday-01,74699286-SEPT20-FriCFD-Weekday-01,"Blair",0,9255512,10674
