start,end,bus_number,trip_time
3023,3030,98,0,60
3030,3031,98,0,60
3031,3032,98,0,60
3032,3033,98,0,60
3033,3034,98,0,60
3034,3035,98,0,60
3035,3036,98,0,120
3036,3037,98,0,120
3037,3038,98,0,60
3038,8668,98,0,120
8668,1969,98,0,30
1969,4247,98,0,30
4247,8383,98,0,60
8383,5808,98,0,60
5808,4238,98,0,60
4238,8844,98,0,30
8844,1572,98,0,60
1572,5750,98,0,30
5750,4257,98,0,60
4257,2382,98,0,60
2382,4330,98,0,60
4330,4329,98,0,30
4329,8727,98,0,60
8727,4324,98,0,30
4324,4323,98,0,60
4323,1242,98,0,30
1242,4321,98,0,60
4321,0892,98,0,60
0892,1963,98,0,30
1963,4320,98,0,60
4320,4319,98,0,60
4319,8630,98,0,30
8630,4317,98,0,60
4317,6485,98,0,60
6485,0312,98,0,30
0312,3327,98,0,60
3327,3326,98,0,30
3326,1584,98,0,120
5902,6420,98,1,120
6420,4357,98,1,60
4357,4358,98,1,30
4358,6471,98,1,60
6471,4316,98,1,60
4316,1992,98,1,60
1992,8628,98,1,60
8628,4318,98,1,60
4318,1915,98,1,60
1915,0389,98,1,30
0389,0893,98,1,60
0893,4325,98,1,30
4325,4326,98,1,60
4326,4327,98,1,30
4327,4328,98,1,60
4328,8742,98,1,60
8742,4331,98,1,30
4331,4332,98,1,60
4332,2416,98,1,60
2416,4256,98,1,60
4256,4847,98,1,60
4847,1578,98,1,30
1578,5756,98,1,60
5756,4239,98,1,30
4239,4845,98,1,60
4845,4246,98,1,30
4246,8440,98,1,60
8440,8448,98,1,30
8448,8441,98,1,60
8441,3038,98,1,60
3038,3037,98,1,60
3037,3036,98,1,120
3036,3035,98,1,120
3035,3034,98,1,60
3034,3033,98,1,120
3033,3032,98,1,30
3032,3031,98,1,60
3031,3030,98,1,60
3030,3023,98,1,60
3023,3030,97,0,60
3030,3031,97,0,60
3031,3032,97,0,60
3032,3033,97,0,60
3033,3034,97,0,60
3034,3035,97,0,60
3035,3036,97,0,120
3036,3037,97,0,60
3037,3038,97,0,60
3038,8608,97,0,60
8608,1549,97,0,240
1549,8366,97,0,60
8366,3066,97,0,60
3066,3039,97,0,60
3039,3333,97,1,60
3333,6144,97,1,60
6144,8677,97,1,180
8677,3038,97,1,60
3038,3037,97,1,60
3037,3036,97,1,120
3036,3035,97,1,120
3035,3034,97,1,60
3034,3033,97,1,120
3033,3032,97,1,30
3032,3031,97,1,60
3031,3030,97,1,60
3030,3023,97,1,60
3037,3038,99,0,120
3038,8608,99,0,30
8608,0713,99,0,360
0713,0696,99,0,30
0696,5904,99,0,180
5904,1157,99,0,120
1157,3041,99,0,60
3041,1732,99,0,180
1732,1743,99,0,180
1743,3229,99,0,60
3229,3227,99,0,30
3227,0691,99,0,30
0691,1245,99,0,60
1245,1243,99,0,120
1243,0692,99,0,30
0692,3218,99,0,60
3218,3334,99,0,60
3334,1389,99,0,60
1389,3040,99,0,60
3040,1329,99,0,180
1329,1330,99,0,30
1330,3048,99,0,120
3048,3049,99,0,120
3049,1221,99,0,120
1221,1235,99,0,60
1235,6945,99,0,60
6945,3047,99,0,60
3047,3045,99,0,60
